num_processes, exponent, n, hits, pi_approx, error, elapsed, wall_time
2, 6, 1000000, 785838, 3.143352, 0.056002, 0.010348, 0.010406
2, 7, 10000000, 7853152, 3.141261, 0.010563, 0.088045, 0.088096
2, 8, 100000000, 78541490, 3.141660, 0.002131, 0.864784, 0.865062
2, 9, 1000000000, 785393846, 3.141575, 0.000550, 8.737488, 8.738630
4, 6, 1000000, 785548, 3.142192, 0.019078, 0.012984, 0.013148
4, 7, 10000000, 7855220, 3.142088, 0.015767, 0.048754, 0.048949
4, 8, 100000000, 78539232, 3.141569, 0.000744, 0.441681, 0.441848
4, 9, 1000000000, 785400084, 3.141600, 0.000245, 4.364427, 4.365482
10, 6, 1000000, 786410, 3.145640, 0.128831, 0.006747, 0.024493
10, 7, 10000000, 7850420, 3.140168, 0.045348, 0.022167, 0.069695
10, 8, 100000000, 78545930, 3.141837, 0.007784, 0.180700, 0.549735
10, 9, 1000000000, 785405610, 3.141622, 0.000948, 1.744234, 5.232984
2, 6, 1000000, 785492, 3.141968, 0.011948, 0.010439, 0.010492
2, 7, 10000000, 7855506, 3.142202, 0.019409, 0.088782, 0.088831
2, 8, 100000000, 78545672, 3.141827, 0.007456, 0.869932, 0.870251
2, 9, 1000000000, 785396294, 3.141585, 0.000238, 8.679606, 8.681308
4, 6, 1000000, 784820, 3.139280, 0.073614, 0.008824, 0.008981
4, 7, 10000000, 7850800, 3.140320, 0.040510, 0.047441, 0.047549
4, 8, 100000000, 78531584, 3.141263, 0.010482, 0.440113, 0.440541
4, 9, 1000000000, 785406472, 3.141626, 0.001058, 4.345509, 4.356634
10, 6, 1000000, 783830, 3.135320, 0.199665, 0.008892, 0.024812
10, 7, 10000000, 7853980, 3.141592, 0.000021, 0.027593, 0.089746
10, 8, 100000000, 78539030, 3.141561, 0.001001, 0.181082, 0.545684
10, 9, 1000000000, 785412040, 3.141648, 0.001767, 1.760374, 5.289682
2, 6, 1000000, 784902, 3.139608, 0.063173, 0.010419, 0.010473
2, 7, 10000000, 7856722, 3.142689, 0.034891, 0.088175, 0.088233
2, 8, 100000000, 78540614, 3.141625, 0.001016, 0.870998, 0.871289
2, 9, 1000000000, 785392886, 3.141572, 0.000672, 8.630681, 8.632071
4, 6, 1000000, 787688, 3.150752, 0.291551, 0.008982, 0.009141
4, 7, 10000000, 7855016, 3.142006, 0.013170, 0.051275, 0.051425
4, 8, 100000000, 78546388, 3.141856, 0.008367, 0.439394, 0.439712
4, 9, 1000000000, 785400108, 3.141600, 0.000248, 4.338471, 4.342467
10, 6, 1000000, 785160, 3.140640, 0.030324, 0.011503, 0.037266
10, 7, 10000000, 7856510, 3.142604, 0.032192, 0.024632, 0.077703
10, 8, 100000000, 78526480, 3.141059, 0.016980, 0.180328, 0.549694
10, 9, 1000000000, 785427900, 3.141712, 0.003786, 1.746751, 5.245731
2, 6, 1000000, 785154, 3.140616, 0.031088, 0.010446, 0.010500
2, 7, 10000000, 7855722, 3.142289, 0.022159, 0.088351, 0.088395
2, 8, 100000000, 78541412, 3.141656, 0.002032, 0.880155, 0.880543
2, 9, 1000000000, 785401214, 3.141605, 0.000388, 8.685005, 8.686754
4, 6, 1000000, 786720, 3.146880, 0.168301, 0.009360, 0.009518
4, 7, 10000000, 7854440, 3.141776, 0.005836, 0.050214, 0.050329
4, 8, 100000000, 78533284, 3.141331, 0.008317, 0.438308, 0.438516
4, 9, 1000000000, 785393580, 3.141574, 0.000584, 5.203007, 5.204360
10, 6, 1000000, 784250, 3.137000, 0.146189, 0.019312, 0.068623
10, 7, 10000000, 7855220, 3.142088, 0.015767, 0.035653, 0.104722
10, 8, 100000000, 78559890, 3.142396, 0.025559, 0.447521, 1.364103
10, 9, 1000000000, 785379810, 3.141519, 0.002337, 13.928965, 41.887017
2, 6, 1000000, 785980, 3.143920, 0.074082, 0.197065, 0.197498
2, 7, 10000000, 7855122, 3.142049, 0.014520, 1.004577, 1.004781
2, 8, 100000000, 78540508, 3.141620, 0.000881, 8.989686, 8.991735
2, 9, 1000000000, 785398226, 3.141593, 0.000008, 89.528793, 89.712409
4, 6, 1000000, 785224, 3.140896, 0.022175, 0.138769, 0.139618
4, 7, 10000000, 7856252, 3.142501, 0.028907, 0.544590, 0.545669
4, 8, 100000000, 78538564, 3.141543, 0.001595, 4.577294, 4.579104
4, 9, 1000000000, 785395586, 3.141582, 0.000328, 44.741230, 44.828650
10, 6, 1000000, 783600, 3.134400, 0.228949, 0.233852, 0.674525
10, 7, 10000000, 7851440, 3.140576, 0.032361, 0.328468, 1.035401
10, 8, 100000000, 78540380, 3.141615, 0.000718, 1.951447, 5.867939
10, 9, 1000000000, 785413120, 3.141652, 0.001904, 17.685730, 53.096323
