exponent, n, hits, pi_approx,error, elapsed
6, 1000000, 784949, 3.139796, 0.057189, 0.241464
7, 10000000, 7852869, 3.141148, 0.014166, 2.557093
8, 100000000, 78540399, 3.141616, 0.000742, 25.319538
9, 1000000000, 785387989, 3.141552, 0.001295, 253.459201
6, 1000000, 785776, 3.143104, 0.048108, 0.281555
7, 10000000, 7853057, 3.141223, 0.011773, 2.516287
8, 100000000, 78540139, 3.141606, 0.000411, 25.394281
9, 1000000000, 785386647, 3.141547, 0.001466, 253.309357
6, 1000000, 785187, 3.140748, 0.026886, 0.273710
7, 10000000, 7850665, 3.140266, 0.042229, 2.519672
8, 100000000, 78542361, 3.141694, 0.003240, 25.284363
9, 1000000000, 785401557, 3.141606, 0.000432, 252.596370
6, 1000000, 785931, 3.143724, 0.067843, 0.273904
7, 10000000, 7853057, 3.141223, 0.011773, 2.521918
8, 100000000, 78538436, 3.141537, 0.001758, 25.322856
9, 1000000000, 785405176, 3.141621, 0.000893, 252.273483
6, 1000000, 786084, 3.144336, 0.087323, 0.241599
7, 10000000, 7857835, 3.143134, 0.049063, 2.516244
8, 100000000, 78537863, 3.141515, 0.002487, 25.541909
9, 1000000000, 785405324, 3.141621, 0.000912, 253.117035
